file,form_number,edition,carrier_archetype,line_of_business,document_type,title
NM-PA-DEC_personal_auto_declarations.pdf,NM-PA-DEC,07 24,Northshore Mutual (Liberty Mutual archetype),Personal Auto,Declarations Page,Personal Auto Policy Declarations
NM-PA-0001_personal_auto_policy.pdf,NM-PA-0001,07 24,Northshore Mutual (Liberty Mutual archetype),Personal Auto,Policy Form,Personal Auto Policy
NM-PA-2114_transportation_network_exclusion.pdf,NM-PA-2114,03 25,Northshore Mutual (Liberty Mutual archetype),Personal Auto,Endorsement,Transportation Network Driver Exclusion
PHX-HO-DEC_homeowners_declarations.pdf,PHX-HO-DEC,04 25,Piedmont Harvest Exchange (Farmers archetype),Homeowners,Declarations Page,Homeowners Policy Declarations
PHX-HO-0003_homeowners_policy.pdf,PHX-HO-0003,04 25,Piedmont Harvest Exchange (Farmers archetype),Homeowners,Policy Form,Homeowners Special Form Policy
PHX-HO-1544_water_backup_endorsement.pdf,PHX-HO-1544,08 24,Piedmont Harvest Exchange (Farmers archetype),Homeowners,Endorsement,Water Backup and Sump Discharge or Overflow
ASSIC-CG-0001_commercial_general_liability.pdf,ASSIC-CG-0001,12 25,Atlantic Sovereign Specialty (AIG archetype),Commercial General Liability,Coverage Form,Commercial General Liability Coverage Form
ASSIC-CG-2037_additional_insured_completed_ops.pdf,ASSIC-CG-2037,12 25,Atlantic Sovereign Specialty (AIG archetype),Commercial General Liability,Endorsement,Additional Insured - Completed Operations
ASSIC-WC-0001_workers_compensation_policy.pdf,ASSIC-WC-0001,06 26,Atlantic Sovereign Specialty (AIG archetype),Workers Compensation,Policy Form,Workers Compensation and Employers Liability Policy
KA-811_index_linked_annuity_contract.pdf,KA-811,05 26,Keystone Assurance Life (New York Life archetype),Individual Annuity - RILA,Contract Form,Single Purchase Payment Deferred Index-Linked Annuity Contract
KA-E-8121_performance_lock_rider.pdf,KA-E-8121,05 26,Keystone Assurance Life (New York Life archetype),Individual Annuity - RILA,Rider,Performance Lock Rider
