id,standard,whatItMeans,phase,responsibleRole,acordCitations,sdlcGates
acord-001,P&C policy messages validate against the ACORD P&C XML schema,"Every outbound and inbound P&C policy message exchanged over the integration platform validates cleanly against the published ACORD P&C XML (XSD) schema, so that carrier and agency partners receive structurally conformant transactions.",Build/Run,Integration Architect,ACORD P&C Data Standard; ACORD XML,Development; Testing; Run
acord-002,ACORD transaction envelopes are well-formed and conformant,"Every ACORD transaction exchanged over the integration platform is wrapped in a well-formed, conformant ACORD transaction envelope, so that routing, correlation, and acknowledgement metadata are reliably interpreted by partner endpoints.",Build/Run,Integration Architect,ACORD Transaction Standards; ACORD XML,Development; Testing; Run
acord-003,Mandatory ACORD data elements are populated on P&C messages,"Every P&C message carries fully populated values for all data elements that the ACORD P&C Data Standard and Data Dictionary mark as mandatory, so that downstream carriers and analytics consumers receive complete, usable policy data.",Build/Run,Data Architect,ACORD P&C Data Standard; ACORD Data Dictionary,Design; Development; Run
acord-004,Life & Annuity messages conform to ACORD TXLife,"Every Life & Annuity message exchanged over the integration platform validates against the ACORD TXLife standard, so that new-business, in-force, and distribution partners exchange structurally conformant Life & Annuity transactions.",Build/Run,Integration Architect,ACORD Life & Annuity Data Standard; TXLife,Development; Testing; Run
acord-005,Life OLI_LU code lists are valid and current,"Every coded value carried on a Life & Annuity message uses a valid OLI_LU code drawn from the current ACORD OLI code list, so that enumerated values are interpreted consistently across carriers, BGAs, and distribution platforms.",Build/Run,Data Architect,ACORD OLI Code Lists; ACORD Life & Annuity Data Standard,Design; Development; Run
acord-006,Certificates of insurance use the current ACORD 25 form,"Every certificate of liability insurance issued uses the current revision of the standard ACORD 25 form, so that certificate holders, agencies, and carriers exchange legally compliant, up-to-date certificates.",Build/Run,Data Architect,ACORD Forms; ACORD 25 (Certificate of Liability Insurance),Design; Run
acord-007,ACORD forms in use are on the current release version,"Every ACORD form rendered, ingested, or filed by the organization is on the current ACORD release version so that downstream carriers, agents, and regulators receive standard-conformant document layouts.",Build/Run,Integration Architect,ACORD Forms; ACORD Forms Release Bulletin,Design; Testing; Run
acord-008,Internal data fields map to the ACORD data dictionary,"Every internal data field that participates in carrier, agency, or regulatory exchange is mapped to a corresponding element in the ACORD data dictionary so that semantics are preserved across the integration estate.",Build,Data Architect,ACORD Data Dictionary; ACORD Reference Architecture,Requirements; Design; Development
acord-009,ACORD code lists are version-current across systems,"Every ACORD code list referenced by registered schemas and mapping specifications is pinned to a current ACORD code-list version so that enumerations remain interoperable across systems.",Build/Run,Data Architect,ACORD Code Lists; ACORD Data Dictionary,Design; Development; Run
acord-010,Reinsurance messaging conforms to ACORD GRLC,"Every reinsurance message exchanged with brokers, cedents, and reinsurers conforms to the ACORD Global Reinsurance and Large Commercial (GRLC) standard so that placements, bordereaux, and technical accounts process straight-through.",Build/Run,Integration Architect,ACORD Global Reinsurance and Large Commercial (GRLC); ACORD Reinsurance Standards,Design; Testing; Run
acord-011,Policy APIs align to the ACORD reference model (ADAPT),"Every policy API endpoint exposed by the organization aligns to the ACORD reference model and the ACORD ADAPT API patterns so that partners can integrate against standard, predictable insurance entities.",Build,API Product Owner,ACORD Reference Architecture; ACORD ADAPT (API),Design; Development; Testing
acord-012,Message schemas are registered and version-pinned,"Every message schema used by policy and partner integrations is registered in the schema registry and pinned to an explicit version so that producers and consumers evolve compatibly.",Build,API Product Owner,ACORD XML; ACORD Reference Architecture,Design; Development; Testing
