id,area,category,standard,whatItMeans,phase,responsibleRole,appliesToValueStreams,nydfsSections,classAOnly,sdlcGates
nydfs-001,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Cybersecurity Program,"Maintain a risk-based cybersecurity program performing the six core functions (identify, protect, detect, respond, recover, and fulfil regulatory reporting). Class A companies must design and conduct independent audits of the program.",Run,CISO,"Cybersecurity, Identity & Resilience",500.2,false,Run
nydfs-002,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Cybersecurity Policy,"Maintain written cybersecurity policies approved at least annually by a senior officer or the senior governing body, covering data governance/classification/retention, asset inventory, access, BCDR, network security/monitoring, app security, vendor management, risk assessment, incident response, and vulnerability management.",Run,CISO,"Cybersecurity, Identity & Resilience",500.3,false,Run
nydfs-003,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Cybersecurity Governance & CISO Oversight,"Designate a CISO who reports in writing at least annually to the senior governing body and timely on material issues; the senior governing body exercises documented oversight of cyber risk (understanding, direction, review of reports, resourcing).",Run,CISO / Senior Governing Body,"Cybersecurity, Identity & Resilience",500.4,false,Run
nydfs-004,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Vulnerability Management,"Written policies ensuring penetration testing from inside and outside system boundaries by a qualified party at least annually, automated scans plus manual review at a risk-based cadence and after material changes, a monitoring process for new vulnerabilities, and timely risk-prioritized remediation. Class A: external expert involvement.",Build/Run,CISO / Application Security Lead,"Cybersecurity, Identity & Resilience; Technology Delivery & Change",500.5,false,Development; Testing; Run
nydfs-005,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Audit Trail,Maintain systems that reconstruct material financial transactions (retain at least 5 years) and audit trails that detect and respond to material cybersecurity events (retain at least 3 years).,Build/Run,ISO Architect,"Cybersecurity, Identity & Resilience; Technology Delivery & Change",500.6,false,Design; Development; Testing; Run
nydfs-006,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Access Privileges & Management,"Enforce least privilege; limit the number, scope, and use of privileged accounts; review all access at least annually and remove what is unnecessary; disable remote-control protocols; promptly terminate access on departure; maintain a password policy meeting industry standards. Class A: privileged-access management solution and automated blocking of commonly used passwords.",Build/Run,ISO Architect / Application Security Lead,"Cybersecurity, Identity & Resilience; Technology Delivery & Change",500.7,false,Design; Development; Testing; Run
nydfs-007,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Application Security (Secure SDLC),"Maintain written secure-development procedures, guidelines, and standards for in-house applications, and procedures to evaluate, assess, and test the security of externally developed applications; reviewed at least annually by the CISO or a qualified designee.",Build,Application Security Lead,"Technology Delivery & Change; Technology Strategy, Architecture & Delivery",500.8,false,Requirements; Design; Development; Testing
nydfs-008,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Risk Assessment,"Conduct a documented, periodic risk assessment that informs the program; review and update it at least annually and whenever a business or technology change materially changes cyber risk.",Run,CISO / CRO,"Cybersecurity, Identity & Resilience",500.9,false,Requirements; Run
nydfs-009,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Cybersecurity Personnel & Intelligence,"Use qualified cybersecurity personnel (in-house, affiliate, or provider) sufficient to manage risk; provide updates and training; verify key personnel maintain current threat and countermeasure knowledge.",Run,CISO,"Cybersecurity, Identity & Resilience",500.10,false,Run
nydfs-010,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Third-Party Service Provider Security,"Maintain written TPSP policies covering identification/risk assessment, minimum required practices, due diligence, and periodic reassessment; contractual guidelines on the provider's MFA, encryption, and breach-notice obligations.",Run,Vendor Security / CISO,"Cybersecurity, Identity & Resilience",500.11,false,Design; Run
