id,standard,whatItMeans,phase,responsibleRole,soxSections,sdlcGates
sox-001,Access provisioning is approved before grant,"Every grant of access to a financially-significant application is authorized by an appropriate approver before the access is provisioned, so that only properly authorized users can transact.",Build/Run,IT Security Manager,SOX 404; COSO Principle 11 (technology general controls); ITGC-Access-Provisioning,Design; Development; Run
sox-002,Periodic user access recertification,"Application owners review and formally recertify all user access to financially-significant systems each quarter so that access remains commensurate with current job responsibilities.",Build/Run,IT Security Manager,SOX 404; COSO Principle 11 (technology general controls); ITGC-Access-Recertification,Run
sox-003,Privileged access is logged and independently reviewed,"All privileged accounts on financially-significant systems are inventoried, their actions are captured in the SIEM, and each account is independently reviewed each quarter so that elevated access cannot be misused without detection.",Build/Run,IT Security Manager,SOX 404; COSO Principle 11 (technology general controls); ITGC-Access-Privileged,Run
sox-004,Segregation of duties enforced on financial roles,"Conflicting financial duties are prevented or mitigated by enforcing a segregation-of-duties ruleset across role assignments so that no single user can both initiate and conceal an erroneous or fraudulent transaction.",Build/Run,IT Security Manager,SOX 404; COSO Principle 11 (technology general controls); ITGC-Access-SoD,Design; Run
sox-005,Timely deprovisioning of terminated users,"Access for terminated personnel is revoked from financially-significant systems within the defined service-level agreement so that no former employee retains the ability to transact.",Build/Run,Access Administrator,SOX 404; COSO Principle 11 (technology general controls); ITGC-Access-Deprovisioning,Run
sox-006,Changes are approved before promotion to production,"Every change promoted to a financially-significant production system is formally approved before deployment, so that only authorized, reviewed changes affect the financial reporting environment.",Build/Run,Release Manager,SOX 404; COSO Principle 11 (technology general controls); ITGC-Change,Development; Testing; Run
sox-007,Developers cannot approve or deploy their own changes,"No individual can both author and approve, or both author and deploy, a change to a financially-significant production system, enforcing segregation of duties across the change lifecycle.",Build/Run,Release Manager,SOX 404; COSO Principle 11 (technology general controls); ITGC-Change-SoD,Development; Testing; Run
sox-008,Emergency changes follow retroactive governance,"Every emergency change to a financially-significant system is logged, retroactively approved, and subject to a post-implementation review, so that expedited changes remain governed even when normal pre-approval is bypassed.",Build/Run,Release Manager,SOX 404; COSO Principle 11 (technology general controls); ITGC-Change-Emergency,Development; Run
sox-009,Financially-relevant batch jobs are monitored and failures resolved,"Financially-relevant batch jobs are monitored, their failures raise alerts, and every failure is resolved, so that financial data is processed completely and accurately on schedule.",Run,IT Operations Manager,SOX 404; COSO Principle 11 (technology general controls); ITGC-Operations,Run
sox-010,Backups succeed and restores are periodically tested,"Backups of financially-significant systems succeed on schedule and restores are periodically tested, so that financial data can be recovered intact in the event of loss or corruption.",Run,IT Operations Manager,SOX 404; COSO Principle 11 (technology general controls); ITGC-Operations-Backup,Run
sox-011,Automated premium-to-GL posting is complete and accurate,"Premium amounts calculated in the policy administration system post to the general ledger completely and accurately, so that recorded premium revenue is supported by an independent recalculation with no unexplained variance.",Build/Run,Financial Systems Analyst,SOX 404; COSO Principle 13 (relevant information); Automated Application Control,Design; Development; Testing; Run
sox-012,System interfaces reconcile on control totals,"Data transmitted across in-scope system interfaces is reconciled on record counts and control totals between the sending and receiving systems, so that no financially-significant records are lost, duplicated, or altered in transit.",Build/Run,Financial Systems Analyst,SOX 404; COSO Principle 13 (relevant information); Automated Application Control,Design; Development; Testing; Run
sox-013,Quarterly sub-certifications support the §302 certification,"All required sub-certifiers complete and sign their quarterly sub-certifications on time, providing the documented basis on which the CEO and CFO rely to make the §302 disclosure certification.",Run,Controller,SOX 302; SEC Rule 13a-14; Disclosure Controls and Procedures,Run
sox-014,ICFR control matrix is complete and key controls are tested,"The ICFR control matrix is complete with a named owner for every key control, all key controls are tested within the assessment cycle, and identified deficiencies are remediated, supporting management's §404 assessment of internal control over financial reporting.",Run,SOX Program Manager,SOX 404; PCAOB AS 2201; COSO 2013 Framework,Run
sox-015,Financial records retention and legal holds are enforced,"In-scope financial records are retained under an enforced retention policy that meets the statutory minimum, legal holds are applied where required, and no records are prematurely deleted, satisfying the §802 records-retention requirements.",Build/Run,Records Manager,SOX 802; SOX 103; 17 CFR 210.2-06,Design; Run
sox-016,Control-deficiency remediation is tracked to closure with owner and due date,Every open ICFR control-deficiency remediation item is tracked with an accountable owner/priority/due date and none are overdue,Run,SOX Program Manager,SOX 404; PCAOB AS 2201; COSO Principle 17,Run
