id,area,category,standard,whatItMeans,phase,responsibleRole,appliesToValueStreams,ccpaCitations,complianceDate,sdlcGates
ccpa-001,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Business Applicability & GLBA-Exemption Analysis,"Determine whether Meridian is a 'business' under any threshold, and analyze which personal information is exempt as GLBA-covered versus in-scope. The GLBA exemption is information-level, not entity-level, so non-GLBA PI (web visitors, prospects, marketing, employees/applicants, B2B contacts) remains subject to the CCPA.",Run,Privacy Officer / General Counsel,"Cybersecurity, Identity & Resilience; Technology Strategy, Architecture & Delivery",1798.140(d); 1798.145(e),in force,Requirements
ccpa-002,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Personal & Sensitive PI Classification,"Inventory and classify personal information and the specific sensitive-PI categories (SSN/IDs, financial credentials, precise geolocation, health, biometric, sexual orientation, etc.) so notice, opt-out, limit-use, security, and retention controls can be scoped.",Build,ISO Architect / Data Owner,"Technology Delivery & Change; Technology Strategy, Architecture & Delivery",1798.140(v); 1798.140(ae),in force,Requirements; Design
ccpa-003,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Notice at Collection,"At or before collection, disclose the categories of PI and SPI collected, the purposes, retention periods, and whether the information is sold or shared.",Build,Privacy Officer / Product Owner,Technology Delivery & Change,1798.100(a),in force,Requirements; Design
ccpa-004,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Privacy Policy,"Maintain a comprehensive privacy policy describing rights, categories, purposes, and disclosures, updated at least every 12 months.",Run,Privacy Officer,"Cybersecurity, Identity & Resilience",1798.130; 1798.135,in force,Run
ccpa-005,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Right to Know / Access,"Provide categories and specific pieces of PI, sources, purposes, and recipients on a verifiable request; look-back of at least 12 months; respond within 45 days.",Build/Run,Privacy Officer / Application Security Lead,Technology Delivery & Change,1798.100; 1798.110; 1798.115,in force,Design; Development; Testing
ccpa-006,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Right to Delete,"Delete a consumer's PI on a verifiable request and direct service providers and contractors to delete it, subject to statutory exceptions.",Build/Run,Application Security Lead / ISO Architect,"Technology Delivery & Change; Cybersecurity, Identity & Resilience",1798.105,in force,Design; Development; Testing
ccpa-007,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Right to Correct,"Correct inaccurate personal information on a verifiable request, using commercially reasonable efforts.",Build/Run,Application Security Lead,Technology Delivery & Change,1798.106,in force,Design; Development; Testing
ccpa-008,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Right to Opt-Out of Sale/Sharing,Provide a clear 'Do Not Sell or Share My Personal Information' mechanism and stop selling or sharing on request. 'Sharing' specifically covers disclosure for cross-context behavioral advertising.,Build/Run,Application Security Lead / Privacy Officer,Technology Delivery & Change,1798.120; 1798.135,in force,Design; Development; Testing
ccpa-009,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Opt-Out Preference Signals (Global Privacy Control),Detect and honor browser/device opt-out preference signals such as Global Privacy Control as a valid request to opt out of sale/sharing.,Build/Run,Application Security Lead,Technology Delivery & Change,11 CCR 7025,in force,Design; Development; Testing
ccpa-010,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Right to Limit Use of Sensitive PI,Provide a 'Limit the Use of My Sensitive Personal Information' mechanism and restrict SPI use to what is necessary to provide the requested goods/services.,Build/Run,Application Security Lead / Privacy Officer,Technology Delivery & Change,1798.121,in force,Design; Development; Testing
ccpa-011,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Automated Decision-Making Technology (ADMT) Rights,"Where ADMT substantially replaces human decision-making in a significant decision (e.g., automated underwriting, pricing, claims), provide a pre-use notice, an opt-out, access to information about the logic and outcome, and an appeal path. Crosswalk to GDPR Art. 22 and the EU AI Act.",Build/Run,Privacy Officer / Chief Actuary / Enterprise Architect,"Technology Strategy, Architecture & Delivery; Technology Delivery & Change",11 CCR ADMT regs; 1798.185,2027-01-01,Requirements; Design; Development; Testing
ccpa-012,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Non-Discrimination & Financial Incentives,"Do not discriminate against consumers for exercising rights; any financial incentive or price/service difference must be permitted, disclosed, and reasonably related to the value of the data.",Build/Run,Privacy Officer,Technology Delivery & Change,1798.125,in force,Design; Testing
ccpa-013,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Verifiable Consumer Requests & Timelines,"Offer at least two request methods, verify the requester's identity, acknowledge within 10 business days, and respond within 45 calendar days (extendable once by 45) with required disclosures.",Build/Run,Privacy Officer / Application Security Lead,Technology Delivery & Change,1798.130; 11 CCR 7020-7022,in force,Design; Development; Testing
ccpa-014,Cybersecurity & ISO,Data Privacy (CCPA/CPRA),Data Minimization & Purpose Limitation,"Collection, use, retention, and sharing of PI must be reasonably necessary and proportionate to the purposes disclosed to the consumer; no use for incompatible purposes without notice.",Build,Enterprise Architect / Privacy Officer,"Technology Strategy, Architecture & Delivery; Technology Delivery & Change",1798.100(c),in force,Requirements; Design; Testing
