id,area,category,standard,whatItMeans,phase,responsibleRole,appliesToValueStreams,gdprArticles,sdlcGates
gdpr-001,Cybersecurity & ISO,Data Privacy (GDPR),Lawful Basis for Processing,"Every processing activity has one documented Art. 6 lawful basis (consent, contract, legal obligation, vital interests, public task, or legitimate interests) recorded before any personal data is collected; legitimate-interests basis requires a documented balancing test.",Build/Run,DPO / ISO Architect,"Technology Delivery & Change; Technology Strategy, Architecture & Delivery",Art. 6; Art. 5(1)(a),Requirements; Design
gdpr-002,Cybersecurity & ISO,Data Privacy (GDPR),Special Category Data Controls,"Health, biometric, genetic and other special-category data (e.g., medical evidence in claims and underwriting) is processed only under an Art. 9(2) condition with heightened safeguards, access controls, and logging.",Build/Run,DPO / ISO Architect,"Technology Delivery & Change; Cybersecurity, Identity & Resilience",Art. 9; Art. 10,Requirements; Design; Development; Testing
gdpr-003,Cybersecurity & ISO,Data Privacy (GDPR),Consent Management,"Where consent is the basis, capture freely-given, specific, informed, unambiguous opt-in; store consent records with timestamp and notice version; withdrawal is as easy as granting.",Build/Run,Application Security Lead / DPO,Technology Delivery & Change,Art. 7; Art. 8,Design; Development; Testing
gdpr-004,Cybersecurity & ISO,Data Privacy (GDPR),Transparency & Privacy Notices,"Art. 13/14 information is provided at or before collection in plain, layered language; the served notice version is recorded against the data subject.",Build,DPO / Product Owner,Technology Delivery & Change,Art. 12; Art. 13; Art. 14,Requirements; Design
gdpr-005,Cybersecurity & ISO,Data Privacy (GDPR),Purpose Limitation & Data Minimisation,Collect only data necessary for the stated purpose; every field has a documented purpose; the design rejects fields without one; no re-use for incompatible purposes.,Build,Enterprise Architect / DPO,"Technology Strategy, Architecture & Delivery; Technology Delivery & Change",Art. 5(1)(b); Art. 5(1)(c),Requirements; Design; Testing
gdpr-006,Cybersecurity & ISO,Data Privacy (GDPR),Storage Limitation & Retention,Per-data-category retention schedules are enforced; automated deletion or anonymisation occurs at end of retention; no indefinite storage of identifiable data.,Run,ISO Architect / Data Owner,"Cybersecurity, Identity & Resilience; Technology Delivery & Change",Art. 5(1)(e),Design; Development; Testing
gdpr-007,Cybersecurity & ISO,Data Privacy (GDPR),Accuracy & Rectification,Mechanisms keep personal data accurate and allow rectification of inaccurate data without undue delay (within one month of a request).,Build/Run,Application Security Lead,Technology Delivery & Change,Art. 5(1)(d); Art. 16,Design; Development; Testing
gdpr-008,Cybersecurity & ISO,Data Privacy (GDPR),Right of Access (DSAR),Data subjects can obtain confirmation of processing and a copy of their data plus processing metadata; fulfilment is machine-assisted and completes within one month.,Build/Run,DPO / Application Security Lead,Technology Delivery & Change,Art. 15; Art. 12,Design; Development; Testing
gdpr-009,Cybersecurity & ISO,Data Privacy (GDPR),Right to Erasure,"Verifiable deletion across primary stores, backups, caches, logs, and processors when erasure conditions are met; erasure/rectification is propagated to recipients (Art. 19).",Build/Run,ISO Architect / Application Security Lead,"Technology Delivery & Change; Cybersecurity, Identity & Resilience",Art. 17; Art. 19,Design; Development; Testing
gdpr-010,Cybersecurity & ISO,Data Privacy (GDPR),Right to Data Portability,"The subject's provided data is exportable in a structured, commonly used, machine-readable format (e.g., JSON/CSV); direct transmission to another controller where technically feasible.",Build/Run,Application Security Lead,Technology Delivery & Change,Art. 20,Design; Development; Testing
gdpr-011,Cybersecurity & ISO,Data Privacy (GDPR),Restriction & Objection,Processing-restriction flags and objection (including an absolute opt-out from direct marketing) are enforceable at the data layer and respected by downstream jobs.,Build/Run,Application Security Lead / DPO,Technology Delivery & Change,Art. 18; Art. 21,Design; Development; Testing
